series_id,series_name,brand_name,sub_brand_name,min_price,max_price,count,score,rank
5369,锋兰达,丰田,广汽丰田,8.68,14.68,173496,0,29
1455,逸动,长安,长安汽车,5.29,8.49,172911,0,30
99,奥迪A6L,奥迪,一汽奥迪,29.95,49.26,170321,0,31
5859,长安Lumin,长安启源,长安启源,3.59,6.19,169615,0,32
6148,熊猫,吉利银河,吉利银河,2.89,4.69,168384,0,33
6132,红旗H5,红旗,一汽红旗,11.48,17.08,162029,0,34
5008,海豚,比亚迪,比亚迪,8.38,11.78,159582,0,35
6266,五菱缤果,五菱汽车,上汽通用五菱,5.18,8.48,158955,0,36
289,雅阁,本田,广汽本田,12.98,18.88,158300,0,37
145,宝马3系,宝马,华晨宝马,21.09,31.99,155982,0,38
4563,哈弗大狗,哈弗,长城汽车,9.09,12.49,155832,0,39
2836,途岳,大众,上汽大众,7.99,16.49,154202,0,40
5248,元PLUS,比亚迪,比亚迪,10.38,13.98,151849,0,41
5852,艾瑞泽8,奇瑞,奇瑞汽车,8.99,12.89,151610,0,42
3476,星瑞,吉利汽车,吉利汽车,8.97,13.67,151189,0,43
20012,宋L DM,比亚迪,比亚迪,11.98,15.68,144751,0,44
2916,奥迪Q5L,奥迪,一汽奥迪,25.19,30.95,135844,0,45
9307,零跑C10,零跑汽车,零跑汽车,11.18,15.18,135512,0,46
214,奔驰E级,奔驰,北京奔驰,32.18,50.98,134436,0,47
24788,银河星舰7 EM-i,吉利银河,吉利银河,8.78,12.38,133860,0,48
216,奔驰GLC,奔驰,北京奔驰,29.78,42.53,133355,0,49
24850,问界M8,AITO,赛力斯汽车,35.98,44.98,133297,0,50
352,昂科威,别克,上汽通用别克,16.59,19.59,132346,0,51
4865,宋PLUS DM,比亚迪,比亚迪,11.58,16.18,128983,0,52
10026,银河E5,吉利银河,吉利银河,9.28,17.98,128226,0,53
2975,缤越,吉利汽车,吉利汽车,5.98,8.78,128215,0,54
212,奔驰C级,奔驰,北京奔驰,21.48,31.41,126693,0,55
4079,皓影,本田,广汽本田,14.59,21.89,125960,0,56
3068,亚洲龙,丰田,一汽丰田,12.88,20.68,124775,0,57
6325,问界M9,AITO,赛力斯汽车,46.98,58.98,123827,0,58
4172,威兰达,丰田,广汽丰田,12.98,22.08,122797,0,59
4899,秦PLUS EV,比亚迪,比亚迪,8.98,16.38,117198,0,60
8956,奔腾小马,奔腾,一汽奔腾,2.99,4.89,116880,0,61
733,帝豪,吉利汽车,吉利汽车,4.89,11.98,115888,0,62
20041,小米YU7,小米汽车,小米汽车,25.35,32.99,114584,0,63
146,宝马5系,宝马,华晨宝马,32.0,40.6,113994,0,64
1938,捷途X70,捷途,奇瑞汽车,8.69,12.99,110172,0,65
4540,宋PLUS EV,比亚迪,比亚迪,13.48,18.08,106813,0,66
5820,问界M7,AITO,赛力斯汽车,24.98,37.98,102474,0,67
542,卡罗拉,丰田,一汽丰田,7.58,11.68,101621,0,68
4731,零跑C11,零跑汽车,零跑汽车,12.88,18.58,101305,0,69
25137,海豹05DM,比亚迪,比亚迪,7.18,9.58,99137,0,70
10213,深蓝S05,深蓝汽车,深蓝汽车,11.29,14.59,99043,0,71
649,哈弗H6,哈弗,长城汽车,7.19,12.19,98936,0,72
1150,逍客,日产,东风日产,8.98,15.09,93908,0,73
5290,驱逐舰05,比亚迪,比亚迪,6.98,12.18,92192,0,74
5223,赛那,丰田,广汽丰田,26.08,35.48,90317,0,75
10180,智界R7,智界,奇瑞汽车,24.98,33.98,88161,0,76
6173,理想L7,理想汽车,理想汽车,30.18,35.98,87724,0,77
9683,长安X5 PLUS,长安,长安汽车,5.99,8.39,87599,0,78
3041,荣威i5,荣威,上汽集团,4.49,10.18,87349,0,79
3159,红旗HS5,红旗,一汽红旗,14.18,17.88,87146,0,80
5843,腾势D9 DM,腾势,腾势汽车,30.98,45.98,86019,0,81
4228,汉DM,比亚迪,比亚迪,14.88,20.58,84758,0,82
409,宝来,大众,一汽-大众,7.29,10.39,83977,0,83
25139,海狮05EV,比亚迪,比亚迪,11.78,13.78,83512,0,84
96,奥迪A4L,奥迪,一汽奥迪,19.8,25.25,82646,0,85
2812,宝马X3,宝马,华晨宝马,29.99,39.99,81442,0,86
9761,小鹏P7+,小鹏汽车,小鹏汽车,18.68,20.88,80643,0,87
4814,AION Y,埃安,广汽埃安新能源,9.18,12.78,80560,0,88
10125,零跑C16,零跑汽车,零跑汽车,14.18,17.58,80116,0,89
9113,哈弗猛龙PHEV,哈弗,长城汽车,14.58,18.88,79710,0,90
3192,五菱宏光V,五菱汽车,上汽通用五菱,4.48,5.28,78559,0,91
9651,长安UNI-Z PHEV,长安,长安汽车,10.29,11.89,76994,0,92
536,汉兰达,丰田,广汽丰田,18.98,28.98,75755,0,93
311,唐DM,比亚迪,比亚迪,15.68,19.98,75641,0,94
5924,岚图梦想家 PHEV,岚图,岚图汽车,32.99,70.99,75560,0,95
25400,海狮06EV,比亚迪,比亚迪,14.38,16.38,75209,0,96
5563,捷途旅行者,捷途,奇瑞汽车,10.99,20.99,74907,0,97
6027,深蓝S07,深蓝汽车,深蓝汽车,14.69,17.19,73422,0,98
5858,格瑞维亚,丰田,一汽丰田,23.28,35.48,71733,0,99
5273,宝马X5,宝马,华晨宝马,55.3,77.5,71521,0,100
1621,传祺GS3,广汽传祺,广汽传祺,6.38,8.88,70021,0,101
9833,乐道L60,乐道,蔚来,20.69,25.59,69845,0,102
9778,ZEEKR 7X,极氪,极氪,22.98,26.99,68795,0,103
9268,零跑B10,零跑汽车,零跑汽车,9.48,12.48,68369,0,104
1290,五菱宏光,五菱汽车,上汽通用五菱,4.65,6.09,67935,0,105
25236,银河星耀8 PHEV,吉利银河,吉利银河,11.58,15.58,67354,0,106
1282,沃尔沃XC60,沃尔沃,沃尔沃亚太,24.7,32.49,66699,0,107
25076,秦L EV,比亚迪,比亚迪,10.98,12.98,65817,0,108
31,MG5,名爵,上汽集团,6.79,9.89,65702,0,109
5092,红旗E-QM5,红旗,一汽红旗,8.98,20.98,65436,0,110
95,奥迪A3,奥迪,一汽奥迪,12.54,16.27,65297,0,111
10040,iCAR超级V23,iCAR,奇瑞新能源,10.98,17.48,65125,0,112
4223,长安CS55 PLUS,长安,长安汽车,9.29,11.39,63965,0,113
1147,天籁,日产,东风日产,10.98,18.23,63799,0,114
8987,铂智3X,丰田,广汽丰田,10.98,15.98,62788,0,115
25132,长安启源Q07,长安启源,长安启源,12.38,17.08,62717,0,116
353,别克GL8,别克,上汽通用别克,22.99,36.99,61878,0,117
1310,伊兰特,现代,北京现代,5.78,10.78,61488,0,118
276,思域,本田,东风本田,9.19,14.19,61456,0,119
3101,AION S,埃安,广汽埃安新能源,9.98,15.68,61196,0,120
1623,领克03,领克,领克,10.38,42.03,60975,0,121
9266,零跑B01,零跑汽车,零跑汽车,8.98,11.68,60078,0,122
9249,钛3,方程豹,方程豹,13.38,17.78,59726,0,123
4840,皇冠陆放,丰田,一汽丰田,22.48,27.68,58400,0,124
3171,捷达VS5,捷达,一汽-大众捷达,6.96,11.19,58192,0,125
347,君越,别克,上汽通用别克,15.59,18.69,58010,0,126
1094,瑞虎7,奇瑞,奇瑞汽车,6.99,11.29,57545,0,127
25547,银河A7,吉利银河,吉利银河,8.18,11.78,56904,0,128
9500,风云T9,奇瑞风云,奇瑞汽车,11.29,16.39,56724,0,129
24800,AION RT,埃安,广汽埃安新能源,9.98,15.58,56300,0,130
8958,长安启源A07,长安启源,长安启源,11.09,15.59,56123,0,131
1794,传祺M8,广汽传祺,广汽传祺,14.98,31.28,56005,0,132
1977,探歌,大众,一汽-大众,10.89,12.87,55674,0,133
5288,长安UNI-V,长安,长安汽车,9.39,12.49,55230,0,134
1738,瑞虎5x,奇瑞,奇瑞汽车,5.19,7.59,54382,0,135
8884,豹5,方程豹,方程豹,23.98,32.98,54181,0,136
9912,别克GL8 PHEV,别克,上汽通用别克,24.99,39.99,54105,0,137
4272,零跑T03,零跑汽车,零跑汽车,4.99,5.99,53792,0,138
10033,阿维塔 07,阿维塔,阿维塔科技,19.99,28.99,53677,0,139
148,宝马X1,宝马,华晨宝马,18.5,30.59,53674,0,140
579,蒙迪欧,福特,长安福特,12.48,20.48,53434,0,141
10205,海豹06GT,比亚迪,比亚迪,12.68,18.28,53198,0,142
4300,汉EV,比亚迪,比亚迪,15.98,21.58,52584,0,143
25559,钛7,方程豹,方程豹,17.98,21.98,52171,0,144
4567,北京越野BJ30,北京越野,北京汽车,8.99,12.69,51917,0,145
4615,坦克300,坦克,长城汽车,19.98,24.48,51451,0,146
9118,智己LS6,智己汽车,智己汽车,19.79,26.99,51070,0,147
24612,捷途自由者,捷途,奇瑞汽车,10.49,13.49,50660,0,148
5227,理想L9,理想汽车,理想汽车,40.98,42.98,50233,0,149
6303,高山,魏牌,长城汽车,28.58,35.38,49309,0,150
5830,坦克500 Hi4-T,坦克,长城汽车,33.5,35.5,49214,0,151
6095,理想L8,理想汽车,理想汽车,32.18,37.98,48815,0,152
9126,蔚来ET5T,蔚来,蔚来,29.8,31.6,48786,0,153
8895,小鹏G6,小鹏汽车,小鹏汽车,17.68,19.88,48675,0,154
8989,风神L7 PHEV,东风风神,东风乘用车,8.99,12.99,48082,0,155
2843,蔚来ES6,蔚来,蔚来,33.8,34.98,47726,0,156
25161,领克900,领克,领克,28.99,39.69,47364,0,157
2875,英仕派,本田,东风本田,11.68,14.78,47179,0,158
25238,海豹06EV,比亚迪,比亚迪,10.98,12.98,46607,0,159
6363,极狐 阿尔法T5,ARCFOX极狐,北汽新能源,10.98,15.48,46080,0,160
6227,瑞虎9,奇瑞,奇瑞汽车,13.29,18.39,45894,0,161
8796,领克08 EM-P,领克,领克,15.98,21.28,45709,0,162
5217,大众ID.3,大众,上汽大众,11.89,14.49,44902,0,163
25014,AION UT,埃安,广汽埃安新能源,6.68,9.88,44801,0,164
9128,ZEEKR 007,极氪,极氪,20.99,29.99,44032,0,165
